brand,processor,ram_gb,storage_gb,storage_type,gpu,screen_size_inch,refresh_rate_hz,battery_wh,weight_kg,has_touchscreen,os,price_idr
MSI,Intel Core i7,64,1024,NVMe SSD,NVIDIA GTX 1650,13.3,60,32.1,1.0,1,Windows 11,41100000
Acer,Intel Core i3,16,1024,HDD,NVIDIA RTX 3070,15.6,60,58.8,2.72,0,Chrome OS,7100000
HP,AMD Ryzen 5,64,1024,SSD,NVIDIA RTX 3070,11.6,90,78.2,1.05,1,Windows 10,31300000
MSI,AMD Ryzen 7,64,1024,HDD,NVIDIA RTX 3070,16.0,60,72.8,1.99,0,Windows 11,50500000
Toshiba,AMD Ryzen 7,16,512,HDD,AMD Radeon RX 6600,13.3,60,73.1,2.55,0,Windows 11,10000000
Toshiba,Intel Core i7,16,512,HDD,Integrated,13.3,120,31.9,2.42,1,Windows 10,6600000
Asus,Intel Core i7,32,512,NVMe SSD,NVIDIA RTX 3070,14.0,60,43.7,1.08,0,Linux,19900000
HP,Intel Core i5,16,512,HDD,AMD Radeon RX 6600,13.3,60,31.6,3.02,0,Linux,7400000
Samsung,Intel Core i9,8,256,HDD,NVIDIA RTX 3070,11.6,60,69.8,2.4,1,Windows 11,11100000
Asus,AMD Ryzen 7,16,256,SSD,AMD Radeon RX 6600,16.0,120,81.8,1.52,0,Chrome OS,6500000
HP,Intel Core i3,32,256,HDD,NVIDIA RTX 3060,15.6,120,96.5,3.37,0,Chrome OS,6300000
Acer,AMD Ryzen 3,16,256,HDD,NVIDIA RTX 3060,16.0,90,85.4,2.95,0,Linux,4100000
Acer,Intel Core i7,16,2048,NVMe SSD,NVIDIA RTX 3070,11.6,60,83.3,2.51,0,Linux,20400000
Samsung,Intel Core i5,8,512,SSD,NVIDIA RTX 3050,17.3,144,99.1,1.87,0,Windows 10,6900000
HP,AMD Ryzen 5,32,256,SSD,NVIDIA RTX 3050,14.0,144,47.8,1.95,0,Linux,10500000
Samsung,AMD Ryzen 5,8,512,HDD,NVIDIA RTX 3050,15.6,240,50.0,3.16,0,Windows 11,7000000
Acer,Intel Core i9,16,512,HDD,NVIDIA RTX 3050,17.3,60,50.6,3.49,0,Linux,11000000
Apple,Apple M1,64,256,NVMe SSD,Apple GPU,17.3,60,61.9,2.51,0,macOS,56600000
Lenovo,AMD Ryzen 3,16,512,NVMe SSD,NVIDIA RTX 3060,11.6,60,58.8,2.47,0,Windows 11,7800000
HP,AMD Ryzen 5,16,512,HDD,NVIDIA RTX 3050,17.3,60,90.6,1.02,0,Windows 10,7400000
Razer,AMD Ryzen 5,32,512,HDD,NVIDIA RTX 3050,14.0,120,39.4,0.94,0,Linux,14200000
Acer,AMD Ryzen 3,16,1024,HDD,NVIDIA RTX 3050,13.3,60,89.5,1.54,0,Windows 10,6300000
Asus,Intel Core i3,8,512,NVMe SSD,NVIDIA GTX 1650,13.3,144,63.3,3.06,0,Chrome OS,3600000
Acer,Intel Core i5,16,1024,NVMe SSD,AMD Radeon RX 6600,17.3,60,79.3,1.45,0,Chrome OS,11100000
HP,Intel Core i5,16,1024,SSD,Integrated,17.3,60,73.5,3.14,1,Chrome OS,5900000
Samsung,Intel Core i3,64,512,HDD,Integrated,16.0,120,44.6,2.41,0,Windows 10,13300000
MSI,AMD Ryzen 9,32,512,HDD,NVIDIA RTX 3060,16.0,144,98.1,2.47,0,Chrome OS,23400000
Lenovo,Intel Core i5,8,512,SSD,NVIDIA RTX 3070,13.3,60,92.6,1.23,0,Windows 10,7100000
MSI,AMD Ryzen 9,8,128,NVMe SSD,NVIDIA RTX 3050,15.6,60,86.4,2.85,0,Windows 10,7400000
Samsung,AMD Ryzen 5,16,1024,NVMe SSD,NVIDIA GTX 1650,13.3,165,32.6,1.56,1,Windows 10,17300000
Lenovo,Intel Core i7,8,1024,NVMe SSD,NVIDIA RTX 3050,15.6,60,31.4,1.74,0,Linux,11500000
Razer,Intel Core i3,16,1024,HDD,NVIDIA RTX 3060,16.0,120,63.6,2.42,1,Windows 11,16200000
Toshiba,Intel Core i5,16,256,SSD,NVIDIA RTX 3060,14.0,60,99.1,2.48,0,Windows 10,6800000
MSI,AMD Ryzen 5,8,256,SSD,NVIDIA RTX 3060,11.6,240,35.6,2.26,0,Linux,6000000
Dell,AMD Ryzen 5,8,512,SSD,Integrated,11.6,144,80.3,2.29,0,Windows 10,3800000
Acer,AMD Ryzen 5,8,1024,NVMe SSD,NVIDIA RTX 4060,15.6,120,38.0,2.49,0,Windows 10,10500000
HP,Intel Core i3,16,512,SSD,NVIDIA GTX 1650,13.3,120,52.6,3.01,0,Windows 10,5100000
Asus,AMD Ryzen 5,32,256,NVMe SSD,NVIDIA RTX 4060,16.0,144,88.1,3.41,0,Linux,15200000
MSI,AMD Ryzen 9,8,256,HDD,Integrated,16.0,165,43.0,1.51,0,Linux,5900000
Razer,Intel Core i5,32,512,SSD,AMD Radeon RX 6600,11.6,165,82.3,2.21,0,Windows 10,22000000
Samsung,AMD Ryzen 9,16,256,NVMe SSD,AMD Radeon RX 6600,14.0,120,53.4,1.26,1,Linux,13400000
Dell,AMD Ryzen 7,8,256,HDD,NVIDIA RTX 3060,16.0,144,84.5,1.27,0,Linux,6800000
MSI,AMD Ryzen 5,32,256,NVMe SSD,AMD Radeon RX 6600,16.0,144,67.8,2.16,0,Windows 11,16900000
HP,Intel Core i7,8,256,SSD,NVIDIA RTX 3060,14.0,90,97.1,1.79,0,Chrome OS,5600000
Toshiba,AMD Ryzen 9,8,1024,HDD,NVIDIA GTX 1650,14.0,165,95.2,2.37,0,Windows 10,7500000
Samsung,Intel Core i5,8,256,SSD,AMD Radeon RX 6600,17.3,60,95.4,3.31,0,Chrome OS,4700000
Samsung,AMD Ryzen 3,8,1024,HDD,Integrated,16.0,165,72.3,1.2,0,Linux,4500000
MSI,Intel Core i5,16,512,NVMe SSD,NVIDIA GTX 1650,14.0,120,32.3,3.27,0,Linux,10800000
MSI,AMD Ryzen 7,8,2048,HDD,NVIDIA RTX 3070,11.6,60,69.0,3.14,0,Windows 10,15900000
Apple,Apple M2,8,512,SSD,Apple GPU,14.0,60,54.5,2.12,0,macOS,27400000
Asus,Intel Core i7,16,512,SSD,NVIDIA GTX 1650,17.3,165,69.2,1.3,0,Linux,11300000
Apple,Apple M2,8,512,NVMe SSD,Apple GPU,15.6,165,86.1,3.45,1,macOS,38500000
HP,AMD Ryzen 9,4,256,NVMe SSD,NVIDIA RTX 3050,16.0,60,42.5,2.6,0,Linux,4200000
Samsung,AMD Ryzen 9,8,512,HDD,NVIDIA RTX 3050,13.3,60,30.9,1.12,0,Windows 10,9700000
Lenovo,Intel Core i5,8,256,HDD,AMD Radeon RX 6600,13.3,60,55.4,0.99,1,Windows 11,3800000
Razer,Intel Core i5,32,1024,NVMe SSD,NVIDIA RTX 3060,11.6,144,90.8,2.17,1,Windows 11,32900000
Razer,AMD Ryzen 9,8,256,HDD,NVIDIA RTX 3070,14.0,120,59.5,1.24,1,Windows 10,13100000
Acer,AMD Ryzen 5,16,256,SSD,NVIDIA RTX 3070,11.6,60,58.4,2.19,1,Windows 10,6800000
MSI,AMD Ryzen 9,16,256,HDD,NVIDIA RTX 3060,16.0,90,88.7,1.95,1,Windows 10,14400000
Lenovo,AMD Ryzen 5,8,1024,NVMe SSD,Integrated,16.0,144,57.3,1.65,0,Linux,6200000
Lenovo,AMD Ryzen 7,16,256,SSD,NVIDIA RTX 4060,15.6,144,67.8,1.32,1,Linux,11300000
Lenovo,Intel Core i7,8,1024,HDD,NVIDIA RTX 3070,11.6,60,79.3,2.46,0,Windows 10,10000000
Asus,Intel Core i3,16,256,NVMe SSD,Integrated,14.0,120,81.3,3.0,0,Windows 10,3600000
MSI,AMD Ryzen 9,16,512,HDD,NVIDIA GTX 1650,11.6,165,96.1,1.0,1,Windows 11,16100000
Toshiba,AMD Ryzen 7,16,256,HDD,AMD Radeon RX 6600,13.3,60,59.5,2.97,1,Windows 10,5900000
HP,Intel Core i5,4,512,NVMe SSD,NVIDIA GTX 1650,14.0,120,69.2,2.15,1,Linux,2900000
Apple,Apple M1,32,256,NVMe SSD,Apple GPU,13.3,90,66.4,2.01,1,macOS,40300000
HP,Intel Core i7,8,512,NVMe SSD,NVIDIA RTX 3050,14.0,60,34.9,0.92,0,Windows 10,7700000
Samsung,Intel Core i7,16,1024,NVMe SSD,Integrated,17.3,165,30.2,2.12,0,Windows 10,14500000
Lenovo,AMD Ryzen 3,64,512,HDD,Integrated,11.6,144,57.4,1.22,1,Windows 11,10500000
Apple,Apple M1,16,1024,NVMe SSD,Apple GPU,13.3,165,41.7,3.48,0,macOS,46100000
MSI,AMD Ryzen 3,8,256,SSD,NVIDIA RTX 3070,13.3,144,32.6,3.39,1,Linux,5000000
Razer,Intel Core i7,8,512,HDD,NVIDIA GTX 1650,13.3,90,64.4,3.49,1,Chrome OS,7300000
Samsung,Intel Core i5,8,1024,HDD,NVIDIA RTX 4060,14.0,165,49.1,2.14,0,Chrome OS,9100000
Razer,AMD Ryzen 3,16,512,SSD,NVIDIA RTX 3050,14.0,60,80.6,2.19,0,Linux,8700000
Acer,Intel Core i3,16,1024,SSD,NVIDIA RTX 3070,13.3,120,68.1,3.15,1,Windows 10,10300000
Razer,Intel Core i5,16,256,NVMe SSD,NVIDIA RTX 3060,16.0,144,91.7,3.17,0,Windows 10,13300000
Toshiba,AMD Ryzen 3,4,512,NVMe SSD,AMD Radeon RX 6600,16.0,120,65.5,0.92,0,Windows 10,3000000
Lenovo,AMD Ryzen 9,8,128,SSD,NVIDIA RTX 3050,11.6,165,97.4,1.79,0,Windows 11,6200000
MSI,Intel Core i9,32,256,SSD,NVIDIA RTX 3060,15.6,120,34.7,2.41,0,Chrome OS,21200000
Apple,Apple M2,16,1024,SSD,Apple GPU,13.3,165,30.1,1.31,0,macOS,59700000
HP,AMD Ryzen 5,16,256,HDD,AMD Radeon RX 6600,13.3,165,84.1,1.5,0,Linux,5900000
Acer,Intel Core i9,16,256,HDD,NVIDIA RTX 3050,13.3,60,92.6,1.5,0,Windows 10,8300000
Razer,AMD Ryzen 9,16,512,NVMe SSD,NVIDIA GTX 1650,15.6,144,43.0,3.16,1,Chrome OS,21000000
HP,AMD Ryzen 3,16,1024,SSD,NVIDIA RTX 3060,11.6,60,30.1,2.46,0,Chrome OS,7800000
Razer,AMD Ryzen 5,16,256,NVMe SSD,Integrated,13.3,60,85.8,1.71,0,Chrome OS,5700000
MSI,Intel Core i5,4,512,HDD,NVIDIA RTX 4060,11.6,90,46.9,3.47,0,Chrome OS,4100000
MSI,Intel Core i9,8,512,SSD,NVIDIA GTX 1650,11.6,60,91.8,1.11,1,Windows 11,11700000
Lenovo,AMD Ryzen 5,8,1024,NVMe SSD,Integrated,11.6,144,95.5,1.04,0,Chrome OS,4400000
Samsung,AMD Ryzen 9,32,512,SSD,NVIDIA RTX 3060,14.0,90,92.6,2.32,1,Windows 10,32800000
Toshiba,Intel Core i5,16,512,NVMe SSD,NVIDIA RTX 3060,14.0,60,45.3,3.44,0,Windows 10,10000000
Apple,Apple M1,16,512,NVMe SSD,Apple GPU,13.3,90,75.7,1.76,0,macOS,36700000
MSI,Intel Core i3,32,1024,HDD,NVIDIA RTX 3060,16.0,144,89.2,2.53,1,Linux,16400000
Samsung,Intel Core i5,16,1024,HDD,NVIDIA RTX 3050,15.6,60,91.1,3.24,0,Windows 11,12500000
HP,Intel Core i5,8,1024,NVMe SSD,NVIDIA RTX 3070,15.6,240,93.6,1.37,0,Chrome OS,10400000
Apple,Apple M1,16,256,NVMe SSD,Apple GPU,15.6,120,58.4,2.44,0,macOS,31100000
Razer,AMD Ryzen 7,4,512,HDD,NVIDIA RTX 3050,15.6,60,39.2,3.42,0,Windows 10,5800000
HP,AMD Ryzen 5,8,1024,HDD,NVIDIA GTX 1650,11.6,60,61.5,2.43,1,Windows 10,4600000
Acer,AMD Ryzen 3,32,1024,HDD,NVIDIA RTX 3070,15.6,60,90.5,2.35,0,Chrome OS,9500000
Lenovo,AMD Ryzen 5,4,256,SSD,NVIDIA RTX 3060,17.3,120,42.6,1.13,0,Windows 11,3400000
Lenovo,AMD Ryzen 9,64,512,SSD,NVIDIA RTX 3050,11.6,60,70.6,1.56,0,Linux,35000000
MSI,Intel Core i9,8,1024,HDD,NVIDIA RTX 4060,15.6,120,77.1,3.42,0,Linux,21500000
MSI,Intel Core i5,32,512,NVMe SSD,AMD Radeon RX 6600,13.3,144,47.1,3.06,1,Windows 11,22000000
Samsung,Intel Core i7,8,512,HDD,Integrated,16.0,60,76.7,2.4,0,Chrome OS,3800000
Asus,Intel Core i5,8,256,HDD,NVIDIA RTX 3070,14.0,120,91.5,1.95,0,Chrome OS,4200000
MSI,Intel Core i5,8,1024,HDD,NVIDIA RTX 3070,11.6,60,38.4,2.32,0,Windows 10,8500000
Acer,Intel Core i7,16,512,HDD,NVIDIA RTX 3070,14.0,120,45.9,1.09,0,Chrome OS,8200000
Toshiba,Intel Core i5,16,2048,NVMe SSD,Integrated,13.3,60,63.5,0.97,0,Windows 10,10000000
Dell,AMD Ryzen 7,16,512,SSD,NVIDIA RTX 4060,16.0,165,43.7,0.92,0,Windows 10,16000000
Razer,Intel Core i9,8,512,NVMe SSD,NVIDIA RTX 3050,14.0,60,37.1,2.16,0,Linux,15900000
HP,AMD Ryzen 9,16,256,SSD,NVIDIA GTX 1650,15.6,165,87.6,2.26,0,Chrome OS,8500000
Apple,Apple M1,32,256,NVMe SSD,Apple GPU,15.6,60,59.7,1.13,1,macOS,42100000
Apple,Apple M2,32,256,SSD,Apple GPU,11.6,165,75.3,1.35,0,macOS,48700000
Samsung,Intel Core i3,8,1024,HDD,NVIDIA RTX 3050,15.6,120,59.7,2.64,0,Windows 10,7100000
Asus,Intel Core i7,8,256,HDD,NVIDIA GTX 1650,16.0,60,74.9,2.48,0,Chrome OS,3100000
Razer,Intel Core i7,16,512,NVMe SSD,NVIDIA RTX 3050,17.3,60,61.2,2.78,0,Chrome OS,16400000
MSI,AMD Ryzen 7,8,512,SSD,NVIDIA RTX 3070,15.6,60,43.4,1.74,0,Linux,12900000
Dell,Intel Core i3,8,512,HDD,NVIDIA GTX 1650,17.3,90,71.5,2.67,0,Chrome OS,2700000
HP,Intel Core i5,16,2048,SSD,NVIDIA RTX 4060,16.0,90,74.4,2.86,0,Linux,17700000
Razer,AMD Ryzen 7,8,2048,HDD,NVIDIA RTX 3060,14.0,60,94.9,1.51,0,Chrome OS,16400000
Acer,Intel Core i9,32,1024,SSD,NVIDIA RTX 4060,16.0,60,87.8,2.93,1,Windows 10,39700000
Asus,AMD Ryzen 7,8,256,SSD,NVIDIA RTX 3070,11.6,90,68.8,1.69,0,Windows 10,7000000
HP,AMD Ryzen 5,16,512,SSD,AMD Radeon RX 6600,15.6,60,95.1,1.2,1,Linux,10800000
Samsung,Intel Core i7,32,256,NVMe SSD,NVIDIA RTX 4060,11.6,60,52.6,0.96,0,Windows 10,21600000
Toshiba,Intel Core i7,8,512,SSD,NVIDIA RTX 3070,11.6,120,72.4,2.89,0,Windows 11,8600000
Razer,AMD Ryzen 5,8,512,HDD,NVIDIA RTX 3070,15.6,240,39.5,3.4,0,Windows 11,9600000
Dell,Intel Core i5,16,256,NVMe SSD,NVIDIA RTX 3060,17.3,120,72.2,1.85,0,Windows 11,9400000
Lenovo,Intel Core i5,32,512,NVMe SSD,NVIDIA RTX 4060,11.6,144,60.1,1.34,0,Windows 10,18800000
Asus,Intel Core i9,8,256,HDD,AMD Radeon RX 6600,16.0,60,73.7,2.27,0,Chrome OS,5500000
Dell,Intel Core i7,32,1024,SSD,NVIDIA RTX 3050,17.3,90,97.5,1.55,0,Linux,25300000
Apple,Apple M2,16,256,SSD,Apple GPU,13.3,240,46.9,3.44,1,macOS,41300000
Dell,Intel Core i3,16,1024,NVMe SSD,Integrated,16.0,144,64.2,1.29,0,Linux,6000000
Dell,AMD Ryzen 5,32,2048,SSD,NVIDIA RTX 3070,11.6,60,76.1,3.35,1,Windows 10,29200000
Asus,Intel Core i7,32,512,HDD,NVIDIA RTX 3060,14.0,90,61.5,1.49,1,Windows 10,16800000
Samsung,AMD Ryzen 9,16,1024,NVMe SSD,AMD Radeon RX 6600,14.0,60,30.8,3.39,1,Windows 11,30600000
Dell,Intel Core i9,32,512,NVMe SSD,NVIDIA RTX 3050,13.3,60,36.9,2.62,1,Linux,27000000
Lenovo,Intel Core i5,8,256,SSD,Integrated,11.6,144,67.1,1.01,1,Linux,3300000
Samsung,Intel Core i5,32,512,HDD,NVIDIA RTX 3070,15.6,120,41.0,1.01,0,Windows 10,17400000
Toshiba,Intel Core i7,32,512,SSD,NVIDIA RTX 3060,14.0,144,92.1,2.58,0,Windows 10,15800000
Apple,Apple M1,32,256,NVMe SSD,Apple GPU,16.0,120,45.5,3.44,1,macOS,53200000
Razer,AMD Ryzen 5,8,256,HDD,NVIDIA RTX 3070,15.6,144,87.2,1.46,0,Chrome OS,5800000
MSI,AMD Ryzen 3,8,512,NVMe SSD,Integrated,16.0,90,36.6,2.4,1,Windows 11,4900000
Samsung,Intel Core i3,64,256,NVMe SSD,NVIDIA RTX 3070,13.3,144,76.0,1.71,1,Chrome OS,15900000
Lenovo,AMD Ryzen 7,32,1024,SSD,Integrated,15.6,60,82.2,1.43,1,Windows 11,16600000
Apple,Apple M2,64,512,SSD,Apple GPU,16.0,60,75.0,2.93,0,macOS,93700000
MSI,AMD Ryzen 3,4,256,HDD,AMD Radeon RX 6600,15.6,90,85.6,1.14,0,Windows 10,2500000
Toshiba,AMD Ryzen 7,16,512,SSD,NVIDIA RTX 3060,14.0,60,48.9,3.05,0,Chrome OS,8800000
MSI,AMD Ryzen 9,64,256,SSD,NVIDIA RTX 3060,15.6,60,66.2,2.04,0,Windows 11,37200000
Dell,Intel Core i3,32,1024,NVMe SSD,NVIDIA RTX 3060,17.3,144,75.0,2.0,0,Linux,18500000
MSI,AMD Ryzen 7,8,512,HDD,NVIDIA GTX 1650,13.3,120,41.6,2.72,0,Windows 11,7700000
HP,AMD Ryzen 3,16,1024,NVMe SSD,NVIDIA GTX 1650,16.0,165,62.3,2.15,0,Linux,8700000
Dell,AMD Ryzen 5,16,512,SSD,NVIDIA RTX 3060,11.6,60,84.6,0.92,0,Windows 10,9200000
Dell,AMD Ryzen 9,8,256,HDD,NVIDIA RTX 3060,17.3,144,32.5,1.62,0,Windows 11,8400000
Toshiba,AMD Ryzen 5,32,256,HDD,NVIDIA GTX 1650,16.0,120,89.7,1.02,0,Linux,5400000
Apple,Apple M1,4,512,SSD,Apple GPU,15.6,144,39.0,3.19,0,macOS,14800000
Samsung,Intel Core i5,8,1024,SSD,NVIDIA RTX 3070,16.0,120,69.6,2.11,1,Windows 10,11800000
Lenovo,AMD Ryzen 3,8,512,SSD,AMD Radeon RX 6600,11.6,144,66.6,1.2,1,Chrome OS,4100000
Razer,AMD Ryzen 7,16,256,HDD,Integrated,13.3,144,63.9,1.33,1,Windows 10,7700000
HP,AMD Ryzen 7,16,1024,NVMe SSD,NVIDIA RTX 3060,13.3,60,98.5,2.96,0,Windows 10,20100000
Acer,Intel Core i9,32,128,SSD,AMD Radeon RX 6600,16.0,165,76.2,1.32,0,Windows 10,15700000
Asus,Intel Core i5,32,512,NVMe SSD,NVIDIA RTX 4060,15.6,60,85.9,1.87,0,Windows 11,20900000
HP,AMD Ryzen 3,8,512,SSD,NVIDIA RTX 3050,11.6,60,70.4,2.55,1,Linux,3900000
Toshiba,Intel Core i9,8,1024,SSD,NVIDIA RTX 3060,14.0,120,92.8,1.34,0,Windows 10,13500000
Apple,Apple M1,16,256,NVMe SSD,Apple GPU,15.6,60,85.9,3.42,1,macOS,28100000
Asus,AMD Ryzen 7,16,256,SSD,NVIDIA RTX 3070,17.3,120,98.6,2.61,0,Windows 11,13700000
HP,Intel Core i3,8,512,SSD,Integrated,14.0,120,43.1,3.13,1,Chrome OS,2500000
Lenovo,Intel Core i5,32,256,SSD,NVIDIA GTX 1650,13.3,144,47.1,1.19,0,Chrome OS,8200000
HP,Intel Core i9,16,1024,NVMe SSD,Integrated,11.6,144,60.5,2.4,1,Windows 10,14900000
Asus,Intel Core i9,8,128,SSD,NVIDIA GTX 1650,17.3,60,89.9,1.49,1,Windows 11,5800000
HP,Intel Core i9,8,256,NVMe SSD,Integrated,14.0,165,83.4,1.96,1,Windows 10,6600000
Lenovo,Intel Core i7,4,256,NVMe SSD,NVIDIA RTX 4060,13.3,120,61.3,2.1,1,Windows 11,6200000
HP,Intel Core i7,16,128,SSD,AMD Radeon RX 6600,17.3,60,94.3,1.63,1,Windows 10,7600000
Razer,Intel Core i9,16,256,SSD,AMD Radeon RX 6600,11.6,144,49.7,3.17,0,Windows 11,19500000
Dell,AMD Ryzen 9,4,512,HDD,NVIDIA RTX 4060,11.6,144,87.7,1.09,0,Windows 11,8200000
Samsung,Intel Core i5,8,2048,SSD,NVIDIA RTX 3070,16.0,60,88.7,1.64,0,Windows 11,16000000
Lenovo,AMD Ryzen 3,8,256,HDD,NVIDIA RTX 3070,15.6,120,38.0,1.14,1,Linux,4100000
Samsung,AMD Ryzen 5,8,256,NVMe SSD,NVIDIA RTX 4060,15.6,120,61.0,2.48,0,Chrome OS,8200000
HP,Intel Core i9,32,2048,SSD,AMD Radeon RX 6600,15.6,120,96.5,2.46,1,Linux,42400000
Razer,Intel Core i5,4,256,SSD,NVIDIA RTX 3070,15.6,120,62.9,2.07,0,Windows 11,6000000
HP,Intel Core i9,16,1024,HDD,Integrated,11.6,60,45.3,1.0,0,Chrome OS,9100000
Toshiba,AMD Ryzen 5,32,256,HDD,Integrated,11.6,165,38.0,1.8,0,Windows 10,5300000
HP,Intel Core i3,16,1024,NVMe SSD,NVIDIA RTX 3060,16.0,144,48.1,2.65,0,Chrome OS,10300000
Asus,Intel Core i9,16,1024,SSD,NVIDIA GTX 1650,15.6,144,55.8,1.21,0,Windows 10,19100000
Asus,AMD Ryzen 5,16,512,NVMe SSD,Integrated,13.3,120,55.3,2.44,0,Linux,6100000
HP,Intel Core i9,32,256,HDD,NVIDIA RTX 3050,17.3,60,39.9,0.93,0,Windows 10,15800000
Asus,AMD Ryzen 7,32,1024,SSD,AMD Radeon RX 6600,11.6,120,81.0,2.6,1,Windows 11,29600000
Apple,Apple M1,32,512,NVMe SSD,Apple GPU,13.3,144,56.9,2.07,0,macOS,55700000
Apple,Apple M1,4,512,NVMe SSD,Apple GPU,17.3,60,79.4,2.69,0,macOS,15500000
Samsung,Intel Core i3,4,512,NVMe SSD,AMD Radeon RX 6600,15.6,120,30.5,1.9,1,Windows 11,4600000
Asus,AMD Ryzen 5,32,512,SSD,NVIDIA RTX 3070,17.3,90,61.8,2.69,0,Chrome OS,14700000
Dell,AMD Ryzen 5,8,256,NVMe SSD,NVIDIA RTX 4060,13.3,60,51.9,1.28,0,Windows 10,6400000
Toshiba,AMD Ryzen 3,16,512,HDD,NVIDIA RTX 3060,13.3,240,87.9,3.46,0,Windows 10,5100000
MSI,Intel Core i9,16,512,HDD,NVIDIA RTX 3070,17.3,144,47.3,3.08,0,Windows 11,22000000
HP,Intel Core i5,8,2048,NVMe SSD,NVIDIA RTX 4060,15.6,90,54.3,2.41,0,Windows 11,15600000
HP,Intel Core i3,16,512,SSD,NVIDIA RTX 3060,13.3,165,62.3,2.8,0,Linux,8600000
Acer,Intel Core i9,64,1024,NVMe SSD,NVIDIA RTX 3050,14.0,144,54.7,2.09,0,Windows 10,43900000
Samsung,Intel Core i9,32,256,SSD,NVIDIA RTX 4060,14.0,90,65.9,1.14,1,Windows 11,31400000
Apple,Apple M2,16,512,NVMe SSD,Apple GPU,14.0,165,65.8,2.18,0,macOS,48900000
HP,Intel Core i9,8,256,NVMe SSD,NVIDIA RTX 3070,15.6,60,30.2,2.56,0,Linux,10300000
MSI,Intel Core i7,64,256,HDD,NVIDIA RTX 3070,13.3,120,63.4,2.69,1,Linux,27000000
Lenovo,AMD Ryzen 7,32,2048,HDD,NVIDIA RTX 4060,13.3,60,77.4,3.05,0,Linux,30900000
Asus,Intel Core i9,8,128,HDD,NVIDIA RTX 3070,16.0,144,87.5,3.0,1,Windows 11,7300000
Lenovo,Intel Core i9,8,512,SSD,AMD Radeon RX 6600,17.3,240,86.6,3.36,0,Windows 10,12500000
MSI,Intel Core i5,32,256,NVMe SSD,Integrated,17.3,60,33.5,1.09,0,Chrome OS,7700000
Samsung,AMD Ryzen 7,32,256,NVMe SSD,NVIDIA RTX 4060,16.0,60,89.0,2.33,0,Windows 10,21800000
